,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
26,27/03/2018,7°C/11°C,7°C/12°C,6°C/11°C,6°C/11°C,7°C/11°C
27,28/03/2018,7°C/12°C,5°C/12°C,9°C/12°C,7°C/12°C,9°C/12°C
28,29/03/2018,7°C/12°C,7°C/11°C,8°C/12°C,8°C/12°C,7°C/11°C
29,30/03/2018,6°C/10°C,5°C/10°C,6°C/10°C,6°C/10°C,6°C/10°C
30,31/03/2018,8°C/11°C,5°C/11°C,8°C/11°C,8°C/11°C,7°C/11°C
31,01/09/2018,19°C/23°C,17°C/23°C,19°C/23°C,18°C/23°C,19°C/23°C
32,02/09/2018,18°C/24°C,17°C/24°C,19°C/24°C,19°C/24°C,18°C/24°C
33,03/09/2018,20°C/24°C,19°C/24°C,20°C/23°C,20°C/23°C,20°C/24°C
34,04/09/2018,19°C/23°C,17°C/22°C,19°C/23°C,19°C/23°C,18°C/22°C
35,05/09/2018,20°C/25°C,18°C/25°C,21°C/26°C,21°C/26°C,20°C/24°C
36,06/09/2018,18°C/22°C,15°C/22°C,19°C/22°C,18°C/22°C,18°C/21°C
37,07/09/2018,17°C/20°C,14°C/20°C,17°C/20°C,16°C/20°C,17°C/20°C
38,08/09/2018,18°C/22°C,17°C/22°C,18°C/22°C,18°C/22°C,18°C/22°C
39,09/09/2018,20°C/28°C,20°C/28°C,21°C/28°C,21°C/28°C,20°C/28°C
40,10/09/2018,19°C/25°C,18°C/24°C,20°C/25°C,20°C/25°C,19°C/24°C
41,11/09/2018,22°C/28°C,20°C/27°C,22°C/28°C,22°C/28°C,21°C/27°C
42,12/09/2018,22°C/27°C,19°C/27°C,23°C/28°C,23°C/28°C,21°C/26°C
43,13/09/2018,16°C/20°C,15°C/19°C,17°C/20°C,17°C/20°C,14°C/19°C
44,14/09/2018,17°C/21°C,14°C/21°C,17°C/21°C,17°C/21°C,17°C/20°C
45,15/09/2018,17°C/22°C,16°C/22°C,17°C/22°C,17°C/22°C,17°C/22°C
46,16/09/2018,19°C/25°C,18°C/24°C,19°C/25°C,19°C/25°C,19°C/24°C
47,17/09/2018,21°C/28°C,21°C/28°C,21°C/29°C,21°C/29°C,21°C/28°C
48,18/09/2018,21°C/25°C,20°C/24°C,22°C/26°C,20°C/26°C,21°C/25°C
49,19/09/2018,20°C/25°C,19°C/24°C,21°C/25°C,20°C/25°C,20°C/24°C
50,20/09/2018,20°C/25°C,19°C/25°C,20°C/26°C,20°C/26°C,20°C/25°C
51,21/09/2018,16°C/19°C,13°C/18°C,17°C/19°C,15°C/19°C,17°C/19°C
52,22/09/2018,15°C/18°C,15°C/18°C,15°C/18°C,15°C/18°C,15°C/17°C
53,23/09/2018,13°C/21°C,10°C/20°C,16°C/21°C,13°C/21°C,15°C/20°C
54,24/09/2018,13°C/17°C,11°C/17°C,13°C/17°C,12°C/17°C,13°C/17°C
55,25/09/2018,13°C/17°C,12°C/17°C,13°C/17°C,12°C/17°C,12°C/17°C
56,26/09/2018,13°C/21°C,14°C/21°C,13°C/21°C,13°C/21°C,13°C/21°C
57,27/09/2018,17°C/24°C,17°C/25°C,18°C/25°C,18°C/25°C,17°C/24°C
58,28/09/2018,15°C/19°C,13°C/19°C,18°C/20°C,14°C/20°C,17°C/18°C
59,29/09/2018,12°C/18°C,12°C/18°C,12°C/18°C,12°C/18°C,12°C/17°C
60,30/09/2018,12°C/18°C,12°C/18°C,13°C/18°C,13°C/18°C,12°C/18°C
61,01/08/2018,24°C/29°C,23°C/28°C,24°C/29°C,24°C/29°C,23°C/28°C
62,02/08/2018,25°C/32°C,24°C/32°C,26°C/32°C,26°C/32°C,24°C/31°C
63,03/08/2018,27°C/34°C,25°C/33°C,28°C/34°C,28°C/34°C,27°C/33°C
64,04/08/2018,27°C/32°C,24°C/31°C,27°C/32°C,27°C/32°C,26°C/31°C
